term,Positive freq,Negative freq
today,19,26
is,552,455
memorial,4,0
day,31,33
today is,6,4
is memorial,1,0
memorial day,2,0
my,228,282
house,18,16
has,77,85
4,10,6
bedrooms,2,1
my house,4,6
house has,1,3
has 4,2,1
4 bedrooms,1,0
time,25,31
travel,3,6
somewhat,0,1
simple,1,1
time travel,0,1
travel is,0,1
is somewhat,0,1
somewhat simple,0,1
the,730,656
president,41,33
of,317,243
united,44,39
states,49,38
barack,17,6
obama,28,23
the president,11,13
president of,23,14
of the,79,40
the united,39,35
united states,42,35
states is,6,6
is barack,5,0
barack obama,17,6
i,621,668
have,165,191
much,20,9
more,25,29
in,380,360
common,4,4
with,67,73
friends,9,15
than,38,48
family,21,7
i have,97,110
have much,1,0
much more,1,1
more in,2,1
in common,1,0
common with,1,0
with my,11,6
my friends,4,5
friends than,1,0
than with,1,0
my family,11,4
game,4,6
thrones,2,0
a,410,467
show,12,4
on,96,103
hbo,2,0
game of,2,1
of thrones,2,0
thrones is,2,0
is a,76,68
a show,2,0
show on,1,0
on hbo,2,0
this,32,37
fast,3,3
moving,2,1
life,22,14
proper,1,0
care,7,8
to,311,341
be,71,53
taken,1,1
save,2,1
our,21,23
resources,1,0
so,11,15
as,53,38
for,92,109
coming,4,0
generations,2,0
able,4,8
enjoy,20,6
same,5,5
benefits,1,1
we,23,21
did,8,13
in this,4,0
this fast,1,0
fast moving,1,0
moving life,1,0
life proper,1,0
proper care,1,0
care has,1,0
has to,1,0
to be,32,21
be taken,1,0
taken to,1,1
to save,2,0
save our,1,0
our resources,1,0
resources so,1,0
so as,1,1
as for,1,0
for the,9,8
the coming,1,0
coming generations,1,0
generations to,1,0
be able,2,4
able to,4,8
to enjoy,1,0
enjoy the,2,1
the same,4,4
same benefits,1,0
benefits as,1,0
as we,1,0
we did,1,1
next,3,10
year,14,28
wards,0,1
black,10,8
cow,1,4
will,42,89
give,2,15
milk,6,10
brown,5,7
one,63,49
and,205,156
next year,0,2
year on,0,1
on wards,0,1
wards a,0,1
a black,2,1
black cow,0,1
cow will,0,1
will give,0,8
give black,0,1
black milk,0,1
milk a,0,1
a brown,0,1
brown one,0,1
one brown,0,1
brown milk,0,1
milk and,0,2
and so,1,1
so on,0,1
love,61,36
going,6,16
dentist,1,1
i love,48,24
love going,0,1
going to,4,13
to the,18,22
the dentist,1,1
success,2,2
strongly,2,0
correlated,1,0
hard,12,3
work,21,15
success is,1,0
is strongly,1,0
strongly correlated,1,0
correlated with,1,0
with hard,1,0
hard work,1,1
dont,0,5
like,45,39
watch,8,3
reality,1,1
shows,4,2
i dont,0,5
dont like,0,2
like to,18,13
to watch,7,2
watch reality,0,1
reality shows,0,1
grass,6,4
green,14,12
requires,1,1
cutting,2,1
the grass,1,2
grass is,4,3
is green,4,2
green and,1,0
and requires,1,0
requires cutting,1,0
harrison,1,0
ford,1,0
was,95,108
born,12,17
chicago,2,0
harrison ford,1,0
ford was,1,0
was born,9,9
born in,9,8
in chicago,2,0
girlfriend,5,3
white,20,11
my girlfriend,3,1
girlfriend is,0,1
is white,7,2
righteousness,0,1
way,10,12
being,10,8
cowardly,0,1
righteousness is,0,1
a way,1,1
way of,3,1
of being,1,1
being cowardly,0,1
running,2,7
bad,10,5
your,25,35
knees,0,1
running is,1,1
is bad,2,3
bad for,2,1
for your,2,4
your knees,0,1
dad,1,3
owns,1,5
bmw,0,2
car,12,32
my dad,1,3
dad owns,0,1
owns a,0,2
a bmw,0,2
bmw car,0,1
drinking,5,13
vinegar,1,1
every,16,24
cure,0,4
cancer,5,10
drinking vinegar,0,1
vinegar every,0,1
every day,5,4
day will,2,2
will cure,0,2
cure cancer,0,2
india,31,26
still,6,7
using,7,3
3g,1,0
technology,4,1
india is,11,7
is still,2,2
still using,1,0
using 3g,1,0
3g technology,1,0
aleksandar,1,0
hemon,1,0
s,47,54
short,7,2
story,1,0
collection,3,0
question,1,1
bruno,1,0
published,1,0
2000,1,1
aleksandar hemon,1,0
hemon s,1,0
s short,1,0
short story,1,0
story collection,1,0
collection the,1,0
